;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Angola;0,110763457342;0,089922099208;0,229273121406;0,219529972746;0,229363771896;0,218649754382;0,281329043094;0,176836322165;0,292570982256;0,479075884739;0,604353309929;0,563760845624;0,729144619449;0,771901471076;0,75261658358;0,665157493008;0,482561439845;0,505753303145;0,753362681928;0,743886369399;0,7000638066;0,668257007518;0,567729328592;0,602537920513;0,5702063564;0,518675817657;0,500044846523;0,608288737334;0,52358687515;0,498363915789;0,428662944786;0,409979247567;0,401602489121;0,510122618789;0,331307491711;0,909710422644;0,842542028575;0,577081314397;0,556293635446;0,67772624135;0,685212349362;0,676539905402;0,85082155236;0,587820498895;1,17629781842;1,15788035765;1,30040253098;1,41998548622;1,48366362915;1,55133998885;1,52145114021;1,47221568951;-;-;-
Burundi;-;-;0,0152025731471;0,016154716031;0,0158272511859;0,011909579433;0,0151150377044;0,0147354429891;0,0165811808646;0,0216154147911;0,0180320978805;0,0209089252944;0,0206746754958;0,020469166469;0,0252976666818;0,020942939485;0,0235021542573;0,0258818233577;0,0262077393949;0,0273735296152;0,03554553478;0,0371907132302;0,0361705187826;0,0457666230289;0,0475734348141;0,0483899244997;0,0490355661938;0,052419494598;0,0486078616764;0,0551799034709;0,0523308323253;0,0586743061553;0,0523618575822;0,0543602749236;0,0545930117372;0,0519645734738;0,0506839164843;0,0477835798412;0,0454985923602;0,0436996287244;0,0434043431762;0,0300249613415;0,0302208369265;0,0222109647952;0,0263645370096;0,0198206216623;0,023253361888;0,0224555708288;0,0221101355707;0,0213611163918;0,0210501678102;0,021908917083;-;-;-
Benin;0,0663541178309;0,0520457809848;0,0542015282643;0,0475796542728;0,0552950437719;0,0571149082952;0,042394929182;0,0523195961148;0,055230834939;0,0708498966505;0,0971050313832;0,0987099003648;0,127891948804;0,122623448831;0,127816295379;0,13598301419;0,0778230226205;0,0865397222007;0,103038654432;0,101340082338;0,139064997967;0,112249051987;0,127787747481;0,114215524385;0,123291053149;0,173630822275;0,156998720112;0,118573003535;0,119745164475;0,132690892098;0,142976655334;0,159910854265;0,16841036431;0,202977024301;0,218621053385;0,221772443397;0,204833203213;0,191382863348;0,185408737167;0,231754927052;0,230065879391;0,252987807096;0,280412782963;0,307110875081;0,316583690909;0,292647893114;0,458610005056;0,516307454846;0,500196304746;0,514288886559;0,541771234258;0,509941159298;-;-;-
Burkina Faso;0,00911189654962;0,018729908891;0,0170031197553;0,0175042135575;0,0215752755697;0,0198412752091;0,0195336585392;0,0192168474009;0,0188949658081;0,0218898760748;0,0254263549904;0,0262689226067;0,027698414347;0,0284431953059;0,033998427826;0,0357491728068;0,0333149135078;0,038968347399;0,0533416936924;0,0610098627643;0,0634202179737;0,0797954749198;0,0804272716706;0,0809237877554;0,0618369289323;0,061686779042;0,0605719048406;0,0635186944201;0,0662633704414;0,095737150816;0,0665892410118;0,0692873772526;0,067840822896;0,0656434202955;0,065745056377;0,0621471463078;0,0682310696239;0,0756438219961;0,0785701937921;0,0825583042352;0,0897168352983;0,0834938322864;0,0817115644995;0,0851639683939;0,0846819972414;0,0838753505551;0,098425098014;0,115663809288;0,115815961722;0,11028960845;0,108309024468;0,12081720439;-;-;-
Botswana;-;-;-;-;-;-;-;-;-;-;-;-;0,0297276920707;0,0670484598758;0,110958137283;0,227291730979;0,695006469758;0,878816484694;0,900512022744;0,980861921281;0,988861532539;0,974960457265;1,02692732069;0,92960149252;0,911787158493;0,978149793569;1,08175687933;1,21626747747;1,24091231376;1,32110700887;1,57394256282;1,50848886602;2,23513315387;2,32399589983;2,26210769226;2,22550779846;1,93644250516;1,93821096221;2,26458619459;2,05573636867;2,43578836431;2,43047995653;2,47916003308;2,32713977176;2,36065451797;2,46121158649;2,45054126071;2,45463967748;2,5752376638;2,25463246427;2,65713708291;2,4438040752;-;-;-
Central African Republic;0,0585353784268;0,0575505696008;0,0471138131996;0,0462489713167;0,0453692047398;0,053376030276;0,0501172399122;0,0533441408437;0,104457459294;0,104353430237;0,114298603934;0,0983244357808;0,0887489378717;0,0832839954927;0,0575312626998;0,0508957414546;0,0622544406826;0,0608691610637;0,0679392696667;0,0463758532645;0,0467629015399;0,0579813140505;0,0593139779969;0,0590403646431;0,0588226778761;0,061513029601;0,0601099614263;0,0949962564418;0,0826499235289;0,0874441191694;0,0679814503039;0,0689195955951;0,0709170644053;0,071576541753;0,0733254953005;0,0716452539079;0,070049867191;0,071739607146;0,0712824529607;0,0739661853979;0,0735755223021;0,0663299176981;0,0652171027764;0,0612820644051;0,0546245821664;0,0536964228052;0,0563859743628;0,0571448468272;0,0560769548011;0,0550104107896;0,060696274714;0,0644752048874;-;-;-
Cote d'Ivoire;0,132972287871;0,153721674313;0,156855909486;0,160260307636;0,188344990647;0,278083549717;0,29418979858;0,324270273072;0,367893243762;0,416391702831;0,465902721792;0,493157110384;0,524437451034;0,53286982025;0,564472594522;0,603914237644;0,573153742528;0,560410887638;0,636612430492;0,685493851971;0,752871829808;0,517533713689;0,678452890439;0,515695040988;0,553153532818;0,721268182531;0,565859208993;0,702952011119;0,809462158374;0,727693368485;0,478509395083;0,449811964459;0,357044922031;0,440576379123;0,380549062669;0,50165993432;0,572640178902;0,543389312259;0,447789876831;0,396583005152;0,420999580196;0,470541266526;0,43696160003;0,322899305557;0,447030139711;0,449889657315;0,39613128826;0,383471815044;0,376338523609;0,314826693687;0,310147166603;0,332470412256;-;-;-
Cameroon;0,0506135841848;0,0515770455396;0,0517885260883;0,052576831986;0,057664584663;0,0520561333447;0,0562222414325;0,0729810151442;0,0786132760161;0,0866682554402;0,0942343981295;0,11662467169;0,120787752366;0,122602408284;0,129543206479;0,150182114251;0,137290784597;0,191235905929;0,237627774144;0,21096419899;0,437225939953;0,580668864509;0,669143785471;0,674434461502;0,601530824974;0,623818597994;0,187436982886;0,168200106694;0,194470042111;0,651905547294;0,144002179223;0,0893862186703;0,296584756023;0,295994220474;0,281786495379;0,31327086433;0,321443137082;0,218632528557;0,212380482302;0,1985528489;0,215493084286;0,209248864251;0,203648852309;0,2203613749;0,223858667856;0,203792601656;0,207466369567;0,305492511235;0,282954664107;0,331971660289;0,325195474106;0,26762030664;-;-;-
Congo, Dem. Rep.;0,1522280661;0,150781683897;0,135558725578;0,139445631899;0,116926455843;0,14229004392;0,134675336163;0,12470624826;0,178181222541;0,187694930344;0,135611858569;0,144088840397;0,143058623722;0,147245680374;0,151237104746;0,141381631301;0,144936662591;0,143878018704;0,14187858748;0,146389028932;0,132865308033;0,139577262721;0,110665906793;0,141323058099;0,135552278933;0,121216591029;0,109397605035;0,121420914582;0,122984564045;0,130250188976;0,116594130417;0,103577784199;0,0959244939575;0,0868707354103;0,0608887601575;0,070612348832;0,0753424404989;0,0663877590648;0,0563577394877;0,0489848569704;0,0350694251861;0,0345634240174;0,0359909412856;0,0365460291068;0,0407310203633;0,046017358813;0,0474941572207;0,0495021135749;0,0508725083195;0,0481365062051;0,0523005029605;0,05357261064;-;-;-
Congo, Rep.;0,220689811668;0,257405587533;0,223264758254;0,214039990223;0,23761531654;0,212184073823;0,258754863813;0,263600250615;0,358141296528;0,387546613222;0,428474484866;0,498394477409;0,467889177445;0,834795288655;1,07724204244;0,707959248422;0,77221949703;0,291611223077;0,19034204187;0,199645027113;0,226583322757;0,255703065455;0,706298536116;0,583020064972;0,564479716958;0,615601703582;0,499088906454;0,602262030687;0,663986612272;0,649491400085;0,498517381276;0,517002313017;0,62629632151;0,59874054849;0,811559862332;0,575531135585;0,613444801421;0,814086834289;0,262516137028;0,269805586833;0,335474588351;0,2390798581;0,175325294278;0,272564991922;0,275381081561;0,34984265568;0,306701789285;0,322911107576;0,33770861414;0,426806679906;0,468217033525;0,531995269514;-;-;-
